0,1,2,3,4,5,6,7,8,9,10,11,12
5000.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
15000.0,1.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
18000.0,1.0,1.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
11000.0,1.0,1.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
30000.0,1.0,1.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
15000.0,1.0,1.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
9000.0,1.0,1.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
15000.0,1.0,1.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,1.0,1.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
6000.0,1.0,1.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
15000.0,1.0,1.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,1.0,1.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
6000.0,1.0,1.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,1.0,1.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
20000.0,1.0,1.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
25000.0,1.0,1.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
32000.0,1.0,1.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
4000.0,1.0,1.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2000.0,1.0,1.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
3000.0,1.0,1.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,1.0,1.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
1500.0,1.0,1.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,1.0,1.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
15000.0,1.0,1.0,24.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,1.0,1.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
25000.0,1.0,1.0,26.0,26.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,1.0,1.0,27.0,27.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
4000.0,1.0,1.0,28.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
14542.0,1.0,1.0,29.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
7000.0,1.0,1.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
15000.0,1.0,1.0,31.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,1.0,1.0,33.0,33.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,1.0,1.0,34.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,1.0,1.0,34.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
8000.0,1.0,1.0,35.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,1.0,1.0,35.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
15500.0,1.0,1.0,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,1.0,1.0,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
6500.0,1.0,1.0,38.0,38.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
7500.0,1.0,1.0,38.0,38.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
12000.0,1.0,1.0,38.0,38.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,1.0,1.0,39.0,39.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,1.0,1.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,1.0,1.0,41.0,41.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
15500.0,1.0,1.0,42.0,42.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
29387.0,1.0,1.0,43.0,43.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
50000.0,1.0,1.0,43.0,43.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
3000.0,1.0,1.0,44.0,44.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
7000.0,1.0,1.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,1.0,1.0,47.0,47.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
5500.0,1.0,1.0,49.0,49.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
2500.0,1.0,1.0,49.0,49.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
4000.0,1.0,1.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
15000.0,1.0,1.0,51.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
