0,1,2,3,4,5,6,7,8,9,10,11,12,13
5000.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,0.0,2.0,4.0,0.0,4.0,2.8284271247461903
15000.0,1.0,1.0,2.0,4.0,4.0,4.0,8.0,0.0,0.5,1.0,0.0,1.0,0.7071067811865476
18000.0,1.0,1.0,2.0,5.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
11000.0,1.0,1.0,2.0,6.0,6.0,6.0,12.0,0.0,0.5,1.0,0.0,1.0,0.7071067811865476
30000.0,1.0,1.0,2.0,7.0,7.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
15000.0,1.0,1.0,2.0,9.0,9.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
9000.0,1.0,1.0,2.0,10.0,10.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
15000.0,1.0,1.0,2.0,11.0,11.0,11.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,1.0,1.0,2.0,12.0,12.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
6000.0,1.0,1.0,2.0,12.0,12.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
15000.0,1.0,1.0,2.0,13.0,13.0,13.0,26.0,0.0,0.5,1.0,0.0,1.0,0.7071067811865476
10000.0,1.0,1.0,2.0,13.0,13.0,13.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
6000.0,1.0,1.0,2.0,14.0,14.0,14.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,1.0,1.0,2.0,16.0,16.0,16.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
20000.0,1.0,1.0,2.0,17.0,17.0,17.0,34.0,0.0,1.0,2.0,0.0,2.0,1.4142135623730951
25000.0,1.0,1.0,2.0,16.0,16.0,16.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
32000.0,1.0,1.0,2.0,16.0,16.0,16.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
4000.0,1.0,1.0,2.0,17.0,17.0,17.0,34.0,0.0,0.5,1.0,0.0,1.0,0.7071067811865476
2000.0,1.0,1.0,2.0,18.0,18.0,18.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
3000.0,1.0,1.0,2.0,18.0,18.0,18.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,1.0,1.0,2.0,18.0,18.0,18.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
1500.0,1.0,1.0,2.0,20.0,20.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,1.0,1.0,2.0,23.0,23.0,23.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
15000.0,1.0,1.0,2.0,24.0,24.0,24.0,48.0,0.0,0.5,1.0,0.0,1.0,0.7071067811865476
10000.0,1.0,1.0,2.0,25.0,25.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
