0,1,2,3,4
5000.0,2.0,0.0,1.0,1.0
15000.0,4.0,0.0,1.0,1.0
18000.0,5.0,0.0,1.0,1.0
11000.0,6.0,0.0,1.0,1.0
30000.0,7.0,0.0,1.0,1.0
15000.0,9.0,0.0,1.0,1.0
9000.0,10.0,0.0,1.0,1.0
15000.0,11.0,0.0,1.0,1.0
10000.0,12.0,0.0,1.0,1.0
6000.0,12.0,0.0,1.0,1.0
15000.0,13.0,0.0,1.0,1.0
10000.0,13.0,0.0,1.0,1.0
6000.0,14.0,0.0,1.0,1.0
5000.0,16.0,0.0,1.0,1.0
20000.0,17.0,0.0,1.0,1.0
25000.0,16.0,0.0,1.0,1.0
32000.0,16.0,0.0,1.0,1.0
4000.0,17.0,0.0,1.0,1.0
2000.0,18.0,0.0,1.0,1.0
3000.0,18.0,0.0,1.0,1.0
10000.0,18.0,0.0,1.0,1.0
1500.0,20.0,0.0,1.0,1.0
5000.0,23.0,0.0,1.0,1.0
15000.0,24.0,0.0,1.0,1.0
10000.0,25.0,0.0,1.0,1.0
25000.0,26.0,0.0,1.0,1.0
5000.0,27.0,0.0,1.0,1.0
4000.0,28.0,0.0,1.0,1.0
14542.0,29.0,0.0,1.0,1.0
7000.0,30.0,0.0,1.0,1.0
15000.0,31.0,0.0,1.0,1.0
5000.0,33.0,0.0,1.0,1.0
10000.0,34.0,0.0,1.0,1.0
10000.0,34.0,0.0,1.0,1.0
8000.0,35.0,0.0,1.0,1.0
10000.0,35.0,0.0,1.0,1.0
15500.0,36.0,0.0,1.0,1.0
5000.0,37.0,0.0,1.0,1.0
6500.0,38.0,0.0,1.0,1.0
7500.0,38.0,0.0,1.0,1.0
12000.0,38.0,0.0,1.0,1.0
5000.0,39.0,0.0,1.0,1.0
10000.0,40.0,0.0,1.0,1.0
5000.0,41.0,0.0,1.0,1.0
15500.0,42.0,0.0,1.0,1.0
29387.0,43.0,0.0,1.0,1.0
50000.0,43.0,0.0,1.0,1.0
3000.0,44.0,0.0,1.0,1.0
7000.0,45.0,0.0,1.0,1.0
5000.0,47.0,0.0,1.0,1.0
5500.0,49.0,0.0,1.0,1.0
2500.0,49.0,0.0,1.0,1.0
4000.0,50.0,0.0,1.0,1.0
15000.0,51.0,0.0,1.0,1.0
