0,1,2,3,4
20000.0,1.0,0.0,1.0,1.0
7000.0,3.0,0.0,1.0,1.0
15000.0,4.0,0.0,1.0,1.0
5000.0,4.0,0.0,1.0,1.0
13500.0,4.0,0.0,1.0,1.0
18000.0,5.0,0.0,1.0,1.0
30000.0,7.0,0.0,1.0,1.0
45000.0,8.0,0.0,1.0,1.0
15000.0,9.0,0.0,1.0,1.0
9000.0,10.0,0.0,1.0,1.0
15000.0,13.0,0.0,1.0,1.0
10000.0,13.0,0.0,1.0,1.0
6000.0,14.0,0.0,1.0,1.0
2000.0,15.0,0.0,1.0,1.0
25000.0,16.0,0.0,1.0,1.0
32000.0,16.0,0.0,1.0,1.0
10000.0,19.0,0.0,1.0,1.0
3000.0,18.0,0.0,1.0,1.0
10000.0,18.0,0.0,1.0,1.0
10000.0,19.0,0.0,1.0,1.0
1500.0,20.0,0.0,1.0,1.0
5000.0,21.0,0.0,1.0,1.0
5000.0,22.0,0.0,1.0,1.0
25000.0,26.0,0.0,1.0,1.0
5000.0,27.0,0.0,1.0,1.0
4000.0,28.0,0.0,1.0,1.0
50000.0,28.0,0.0,1.0,1.0
14542.0,29.0,0.0,1.0,1.0
7500.0,31.0,0.0,1.0,1.0
13000.0,32.0,0.0,1.0,1.0
5000.0,33.0,0.0,1.0,1.0
10000.0,34.0,0.0,1.0,1.0
10000.0,34.0,0.0,1.0,1.0
8000.0,35.0,0.0,1.0,1.0
10000.0,35.0,0.0,1.0,1.0
15500.0,36.0,0.0,1.0,1.0
5000.0,37.0,0.0,1.0,1.0
6500.0,38.0,0.0,1.0,1.0
7500.0,38.0,0.0,1.0,1.0
12000.0,38.0,0.0,1.0,1.0
5000.0,41.0,0.0,1.0,1.0
15500.0,42.0,0.0,1.0,1.0
12500.0,43.0,0.0,1.0,1.0
29387.0,43.0,0.0,1.0,1.0
50000.0,43.0,0.0,1.0,1.0
2500.0,44.0,0.0,1.0,1.0
3000.0,44.0,0.0,1.0,1.0
7500.0,44.0,0.0,1.0,1.0
15000.0,45.0,0.0,1.0,1.0
5500.0,45.0,0.0,1.0,1.0
5750.0,46.0,0.0,1.0,1.0
5000.0,47.0,0.0,1.0,1.0
5000.0,48.0,0.0,1.0,1.0
4000.0,48.0,0.0,1.0,1.0
5500.0,49.0,0.0,1.0,1.0
7000.0,55.0,0.0,1.0,1.0
7493.0,56.0,0.0,1.0,1.0
8000.0,57.0,0.0,1.0,1.0
50000.0,58.0,0.0,1.0,1.0
