0,1,2,3,4,5,6,7,8,9,10,11,12,13
20000.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,0.0,2.0,4.0,0.0,4.0,2.8284271247461903
7000.0,1.0,1.0,2.0,3.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,1.0,1.0,2.0,4.0,4.0,4.0,8.0,0.0,0.5,1.0,0.0,1.0,0.7071067811865476
13500.0,1.0,1.0,2.0,4.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
11000.0,1.0,1.0,2.0,6.0,6.0,6.0,12.0,0.0,0.5,1.0,0.0,1.0,0.7071067811865476
45000.0,1.0,1.0,2.0,8.0,8.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
15000.0,1.0,1.0,2.0,11.0,11.0,11.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,1.0,1.0,2.0,12.0,12.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
6000.0,1.0,1.0,2.0,12.0,12.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
2000.0,1.0,1.0,2.0,15.0,15.0,15.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,1.0,1.0,2.0,16.0,16.0,16.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
20000.0,1.0,1.0,2.0,17.0,17.0,17.0,34.0,0.0,1.0,2.0,0.0,2.0,1.4142135623730951
4000.0,1.0,1.0,2.0,17.0,17.0,17.0,34.0,0.0,0.5,1.0,0.0,1.0,0.7071067811865476
2000.0,1.0,1.0,2.0,18.0,18.0,18.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,1.0,1.0,2.0,19.0,19.0,19.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,1.0,1.0,2.0,19.0,19.0,19.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,1.0,1.0,2.0,21.0,21.0,21.0,42.0,0.0,0.5,1.0,0.0,1.0,0.7071067811865476
5000.0,1.0,1.0,2.0,22.0,22.0,22.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,1.0,1.0,2.0,23.0,23.0,23.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
15000.0,1.0,1.0,2.0,24.0,24.0,24.0,48.0,0.0,0.5,1.0,0.0,1.0,0.7071067811865476
10000.0,1.0,1.0,2.0,25.0,25.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
50000.0,1.0,1.0,2.0,28.0,28.0,28.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
7000.0,1.0,1.0,2.0,30.0,30.0,30.0,60.0,0.0,0.5,1.0,0.0,1.0,0.7071067811865476
7500.0,1.0,1.0,2.0,31.0,31.0,31.0,62.0,0.0,0.5,1.0,0.0,1.0,0.7071067811865476
15000.0,1.0,1.0,2.0,31.0,31.0,31.0,62.0,0.0,0.5,1.0,0.0,1.0,0.7071067811865476
13000.0,1.0,1.0,2.0,32.0,32.0,32.0,64.0,0.0,0.5,1.0,0.0,1.0,0.7071067811865476
5000.0,1.0,1.0,2.0,39.0,39.0,39.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,1.0,1.0,2.0,40.0,40.0,40.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,1.0,1.0,2.0,41.0,41.0,41.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,1.0,1.0,2.0,41.0,41.0,41.0,82.0,0.0,0.5,1.0,0.0,1.0,0.7071067811865476
12500.0,1.0,1.0,2.0,43.0,43.0,43.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0
2500.0,1.0,1.0,2.0,44.0,44.0,44.0,88.0,0.0,0.5,1.0,0.0,1.0,0.7071067811865476
7500.0,1.0,1.0,2.0,44.0,44.0,44.0,88.0,0.0,1.0,2.0,0.0,2.0,1.4142135623730951
15000.0,1.0,1.0,2.0,45.0,45.0,45.0,90.0,0.0,0.5,1.0,0.0,1.0,0.7071067811865476
