0,1,2,3,4
20000.0,1.0,0.0,1.0,1.0
5000.0,2.0,0.0,1.0,1.0
7000.0,3.0,0.0,1.0,1.0
5000.0,4.0,0.0,1.0,1.0
13500.0,4.0,0.0,1.0,1.0
11000.0,6.0,0.0,1.0,1.0
45000.0,8.0,0.0,1.0,1.0
15000.0,11.0,0.0,1.0,1.0
10000.0,12.0,0.0,1.0,1.0
6000.0,12.0,0.0,1.0,1.0
2000.0,15.0,0.0,1.0,1.0
5000.0,16.0,0.0,1.0,1.0
20000.0,17.0,0.0,1.0,1.0
4000.0,17.0,0.0,1.0,1.0
2000.0,18.0,0.0,1.0,1.0
10000.0,19.0,0.0,1.0,1.0
10000.0,19.0,0.0,1.0,1.0
5000.0,21.0,0.0,1.0,1.0
5000.0,22.0,0.0,1.0,1.0
5000.0,23.0,0.0,1.0,1.0
15000.0,24.0,0.0,1.0,1.0
10000.0,25.0,0.0,1.0,1.0
50000.0,28.0,0.0,1.0,1.0
7000.0,30.0,0.0,1.0,1.0
7500.0,31.0,0.0,1.0,1.0
15000.0,31.0,0.0,1.0,1.0
13000.0,32.0,0.0,1.0,1.0
5000.0,39.0,0.0,1.0,1.0
10000.0,40.0,0.0,1.0,1.0
5000.0,41.0,0.0,1.0,1.0
5000.0,41.0,0.0,1.0,1.0
12500.0,43.0,0.0,1.0,1.0
2500.0,44.0,0.0,1.0,1.0
7500.0,44.0,0.0,1.0,1.0
15000.0,45.0,0.0,1.0,1.0
5500.0,45.0,0.0,1.0,1.0
7000.0,45.0,0.0,1.0,1.0
5750.0,46.0,0.0,1.0,1.0
5000.0,48.0,0.0,1.0,1.0
4000.0,48.0,0.0,1.0,1.0
2500.0,49.0,0.0,1.0,1.0
4000.0,50.0,0.0,1.0,1.0
15000.0,51.0,0.0,1.0,1.0
5000.0,51.0,0.0,1.0,1.0
33000.0,52.0,0.0,1.0,1.0
8000.0,53.0,0.0,1.0,1.0
15000.0,53.0,0.0,1.0,1.0
6000.0,54.0,0.0,1.0,1.0
7000.0,55.0,0.0,1.0,1.0
8000.0,57.0,0.0,1.0,1.0
5000.0,59.0,0.0,1.0,1.0
10000.0,59.0,0.0,1.0,1.0
12500.0,60.0,0.0,1.0,1.0
60000.0,62.0,0.0,1.0,1.0
5800.0,57.0,0.0,1.0,1.0
5000.0,56.0,0.0,1.0,1.0
50000.0,55.0,0.0,1.0,1.0
20000.0,56.0,0.0,1.0,1.0
45265.0,57.0,0.0,1.0,1.0
7500.0,57.0,0.0,1.0,1.0
7000.0,58.0,0.0,1.0,1.0
7500.0,59.0,0.0,1.0,1.0
5000.0,59.0,0.0,1.0,1.0
5000.0,60.0,0.0,1.0,1.0
10000.0,61.0,0.0,1.0,1.0
25000.0,62.0,0.0,1.0,1.0
15000.0,63.0,0.0,1.0,1.0
15000.0,63.0,0.0,1.0,1.0
26000.0,64.0,0.0,1.0,1.0
25000.0,63.0,0.0,1.0,1.0
10000.0,62.0,0.0,1.0,1.0
10500.0,63.0,0.0,1.0,1.0
46000.0,63.0,0.0,1.0,1.0
5000.0,63.0,0.0,1.0,1.0
6000.0,63.0,0.0,1.0,1.0
4000.0,64.0,0.0,1.0,1.0
